Graph Number,precision overall,recall overall,tp_overall,fp_overall,tn_overall,fn_overall,precision oo,recall oo,tp_oo,fp_oo,tn_oo,fn_oo,precision oon,recall oon,tp_oon,fp_oon,tn_oon,fn_oon,precision on,recall on,tp_on,fp_on,tn_on,fn_on,precision nn,recall nn,tp_nn,fp_nn,tn_nn,fn_nn,Correct Node IDs,Correct Old Node IDs,Precision Old IDs,Recall Old IDs,Correct New Node IDs,Precision New IDs,Recall New IDs,Correct Overall IDs,Precision Overall IDs,Recall Overall IDs
2,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
3,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
4,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
5,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
6,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
7,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
8,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
9,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
10,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
11,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
12,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0025,0,0.0,0.0,1,0.003076923076923077,0.0025,1,0.0025,0.0025
13,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0024449877750611247,0,0.0,0.0,1,0.0030211480362537764,0.0024449877750611247,1,0.0024449877750611247,0.0024449877750611247
14,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
15,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
16,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
17,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
18,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
19,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
