Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,194,217,181,13,36,79,125,11,0.13924050632911392,0.088,0.10784313725490195
1,240,258,227,13,31,79,149,12,0.1518987341772152,0.08053691275167785,0.10526315789473685
2,203,233,181,22,52,16,122,6,0.375,0.04918032786885246,0.08695652173913043
3,385,429,353,32,76,130,302,19,0.14615384615384616,0.06291390728476821,0.08796296296296297
4,319,359,293,26,66,35,226,8,0.22857142857142856,0.035398230088495575,0.061302681992337155
5,258,287,225,33,62,40,164,18,0.45,0.10975609756097561,0.1764705882352941
6,199,218,166,33,52,90,120,9,0.1,0.075,0.08571428571428572
7,156,182,144,12,38,55,90,9,0.16363636363636364,0.1,0.12413793103448276
8,1593,1629,1555,38,74,138,1553,8,0.057971014492753624,0.0051513200257566,0.009461856889414547
9,345,429,326,19,103,185,146,6,0.032432432432432434,0.0410958904109589,0.036253776435045314
10,927,1226,892,35,334,554,511,58,0.10469314079422383,0.11350293542074363,0.10892018779342723
11,384,525,342,42,183,58,148,4,0.06896551724137931,0.02702702702702703,0.03883495145631068
12,219,248,179,40,69,101,96,5,0.04950495049504951,0.052083333333333336,0.05076142131979696
13,197,224,162,35,62,86,77,7,0.08139534883720931,0.09090909090909091,0.08588957055214724
14,192,204,164,28,40,75,107,15,0.2,0.14018691588785046,0.16483516483516486
15,150,168,118,32,50,84,77,10,0.11904761904761904,0.12987012987012986,0.12422360248447203
16,186,204,153,33,51,87,91,12,0.13793103448275862,0.13186813186813187,0.1348314606741573
17,167,180,143,24,37,55,85,9,0.16363636363636364,0.10588235294117647,0.12857142857142856
18,156,166,133,23,33,45,82,3,0.06666666666666667,0.036585365853658534,0.04724409448818898
19,145,153,130,15,23,13,77,4,0.3076923076923077,0.05194805194805195,0.0888888888888889
20,136,146,123,13,23,35,66,9,0.2571428571428571,0.13636363636363635,0.17821782178217818
21,154,170,141,13,29,43,69,4,0.09302325581395349,0.057971014492753624,0.07142857142857142
22,190,200,168,22,32,66,94,8,0.12121212121212122,0.0851063829787234,0.09999999999999999
23,126,133,108,18,25,45,47,5,0.1111111111111111,0.10638297872340426,0.10869565217391305
24,109,125,100,9,25,35,50,5,0.14285714285714285,0.1,0.11764705882352941
25,212,224,195,17,29,47,115,2,0.0425531914893617,0.017391304347826087,0.024691358024691357
26,159,159,133,26,26,6,67,0,0.0,0.0,0
27,121,130,100,21,30,48,58,4,0.08333333333333333,0.06896551724137931,0.07547169811320754
28,109,109,92,17,17,31,56,5,0.16129032258064516,0.08928571428571429,0.1149425287356322
29,135,141,122,13,19,7,79,4,0.5714285714285714,0.05063291139240506,0.09302325581395349
30,100,106,83,17,23,22,39,3,0.13636363636363635,0.07692307692307693,0.09836065573770493
31,92,105,87,5,18,36,35,0,0.0,0.0,0
32,1207,1219,1193,14,26,54,1180,0,0.0,0.0,0
33,134,175,113,21,62,5,37,0,0.0,0.0,0
34,183,216,171,12,45,65,83,6,0.09230769230769231,0.07228915662650602,0.08108108108108109
35,130,162,116,14,46,58,56,6,0.10344827586206896,0.10714285714285714,0.10526315789473684
36,164,186,149,15,37,45,73,5,0.1111111111111111,0.0684931506849315,0.0847457627118644
37,145,179,122,23,57,78,61,5,0.0641025641025641,0.08196721311475409,0.07194244604316548
38,115,122,98,17,24,8,54,3,0.375,0.05555555555555555,0.09677419354838708
39,147,167,133,14,34,56,71,6,0.10714285714285714,0.08450704225352113,0.09448818897637794
40,1501,1537,1462,39,75,345,939,22,0.06376811594202898,0.023429179978700747,0.034267912772585674
41,524,585,471,53,114,66,247,10,0.15151515151515152,0.04048582995951417,0.06389776357827477
42,231,255,185,46,70,28,104,9,0.32142857142857145,0.08653846153846154,0.13636363636363638
43,208,231,171,37,60,18,116,6,0.3333333333333333,0.05172413793103448,0.08955223880597016
