Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,27,28,2,25,26,1,1,1,1.0,1.0,1.0
1,191,240,91,100,149,47,42,42,0.8936170212765957,1.0,0.9438202247191011
2,105,246,34,71,212,81,19,19,0.2345679012345679,1.0,0.38
3,102,205,25,77,180,48,16,16,0.3333333333333333,1.0,0.5
4,84,173,28,56,145,48,17,16,0.3333333333333333,0.9411764705882353,0.49230769230769234
5,68,135,22,46,113,23,16,16,0.6956521739130435,1.0,0.8205128205128205
6,53,100,11,42,89,11,7,7,0.6363636363636364,1.0,0.7777777777777778
7,45,86,11,34,75,15,10,10,0.6666666666666666,1.0,0.8
8,35,69,10,25,59,12,5,4,0.3333333333333333,0.8,0.47058823529411764
9,59,107,14,45,93,23,9,9,0.391304347826087,1.0,0.5625
10,35,60,9,26,51,11,8,8,0.7272727272727273,1.0,0.8421052631578948
11,56,82,12,44,70,11,8,8,0.7272727272727273,1.0,0.8421052631578948
12,45,66,6,39,60,5,4,4,0.8,1.0,0.888888888888889
13,26,40,3,23,37,2,1,1,0.5,1.0,0.6666666666666666
14,35,51,5,30,46,4,3,2,0.5,0.6666666666666666,0.5714285714285715
15,16,40,4,12,36,3,3,3,1.0,1.0,1.0
16,18,30,5,13,25,4,2,1,0.25,0.5,0.3333333333333333
17,13,30,1,12,29,0,0,0,0,0,0
18,15,26,1,14,25,0,0,0,0,0,0
19,8,12,1,7,11,0,0,0,0,0,0
20,13,23,2,11,21,1,0,0,0.0,0,0
21,28,32,5,23,27,4,4,4,1.0,1.0,1.0
22,12,17,2,10,15,1,1,1,1.0,1.0,1.0
23,10,19,1,9,18,0,0,0,0,0,0
24,14,24,2,12,22,1,0,0,0.0,0,0
25,18,56,3,15,53,1,1,1,1.0,1.0,1.0
26,19,29,5,14,24,4,4,4,1.0,1.0,1.0
27,24,29,7,17,22,7,5,5,0.7142857142857143,1.0,0.8333333333333333
28,37,56,13,24,43,14,9,9,0.6428571428571429,1.0,0.782608695652174
29,17,32,2,15,30,1,1,1,1.0,1.0,1.0
30,7,19,2,5,17,1,1,1,1.0,1.0,1.0
31,14,26,3,11,23,2,2,2,1.0,1.0,1.0
32,22,42,6,16,36,5,4,3,0.6,0.75,0.6666666666666665
33,9,15,1,8,14,0,0,0,0,0,0
34,19,22,2,17,20,1,0,0,0.0,0,0
35,15,23,4,11,19,3,2,2,0.6666666666666666,1.0,0.8
36,22,31,3,19,28,2,1,1,0.5,1.0,0.6666666666666666
37,12,19,1,11,18,0,0,0,0,0,0
38,14,17,2,12,15,1,0,0,0.0,0,0
39,19,21,4,15,17,4,2,2,0.5,1.0,0.6666666666666666
40,18,24,3,15,21,2,2,2,1.0,1.0,1.0
41,8,19,1,7,18,0,0,0,0,0,0
42,13,22,1,12,21,0,0,0,0,0,0
43,9,19,5,4,14,4,2,2,0.5,1.0,0.6666666666666666
44,23,29,7,16,22,7,5,5,0.7142857142857143,1.0,0.8333333333333333
45,11,24,1,10,23,0,0,0,0,0,0
46,14,17,2,12,15,1,1,1,1.0,1.0,1.0
47,22,24,3,19,21,1,0,0,0.0,0,0
48,15,20,2,13,18,1,1,1,1.0,1.0,1.0
49,12,16,2,10,14,1,1,1,1.0,1.0,1.0
50,19,24,6,13,18,4,3,3,0.75,1.0,0.8571428571428571
51,19,27,7,12,20,7,4,4,0.5714285714285714,1.0,0.7272727272727273
52,13,21,2,11,19,1,0,0,0.0,0,0
53,22,29,3,19,26,2,2,2,1.0,1.0,1.0
54,15,21,3,12,18,2,1,1,0.5,1.0,0.6666666666666666
55,15,22,3,12,19,2,2,2,1.0,1.0,1.0
56,20,22,3,17,19,2,2,2,1.0,1.0,1.0
57,21,26,9,12,17,9,6,6,0.6666666666666666,1.0,0.8
58,18,26,2,16,24,1,1,1,1.0,1.0,1.0
59,17,28,8,9,20,8,4,4,0.5,1.0,0.6666666666666666
60,24,33,5,19,28,4,2,2,0.5,1.0,0.6666666666666666
61,22,37,4,18,33,3,1,1,0.3333333333333333,1.0,0.5
62,33,64,13,20,51,15,6,6,0.4,1.0,0.5714285714285715
63,62,82,24,38,58,39,21,21,0.5384615384615384,1.0,0.7000000000000001
64,36,50,8,28,42,8,6,6,0.75,1.0,0.8571428571428571
65,52,74,16,36,58,15,12,10,0.6666666666666666,0.8333333333333334,0.7407407407407408
66,82,120,28,54,92,31,30,19,0.6129032258064516,0.6333333333333333,0.6229508196721313
67,89,113,25,64,88,28,20,17,0.6071428571428571,0.85,0.7083333333333333
68,64,91,12,52,79,11,9,9,0.8181818181818182,1.0,0.9
69,41,73,5,36,68,4,3,3,0.75,1.0,0.8571428571428571
70,43,83,6,37,77,6,2,2,0.3333333333333333,1.0,0.5
71,31,51,3,28,48,1,0,0,0.0,0,0
72,29,46,2,27,44,1,1,1,1.0,1.0,1.0
73,36,45,9,27,36,11,5,5,0.45454545454545453,1.0,0.625
74,32,48,8,24,40,7,0,0,0.0,0,0
75,28,48,5,23,43,7,3,3,0.42857142857142855,1.0,0.6
76,36,49,11,25,38,11,10,10,0.9090909090909091,1.0,0.9523809523809523
77,59,88,17,42,71,18,15,10,0.5555555555555556,0.6666666666666666,0.606060606060606
78,73,83,23,50,60,30,19,18,0.6,0.9473684210526315,0.7346938775510204
79,76,99,25,51,74,40,25,20,0.5,0.8,0.6153846153846154
80,82,97,29,53,68,60,27,21,0.35,0.7777777777777778,0.48275862068965514
81,119,192,47,72,145,159,53,35,0.22012578616352202,0.660377358490566,0.330188679245283
82,72,122,9,63,113,8,4,4,0.5,1.0,0.6666666666666666
83,81,159,32,49,127,57,24,24,0.42105263157894735,1.0,0.5925925925925926
84,104,249,38,66,211,44,34,27,0.6136363636363636,0.7941176470588235,0.6923076923076923
85,90,113,21,69,92,33,11,10,0.30303030303030304,0.9090909090909091,0.45454545454545453
86,70,87,17,53,70,31,13,12,0.3870967741935484,0.9230769230769231,0.5454545454545454
87,69,80,10,59,70,13,10,8,0.6153846153846154,0.8,0.6956521739130435
88,58,77,21,37,56,23,18,17,0.7391304347826086,0.9444444444444444,0.8292682926829269
89,45,56,11,34,45,10,8,6,0.6,0.75,0.6666666666666665
90,63,74,19,44,55,17,16,14,0.8235294117647058,0.875,0.8484848484848485
91,64,79,16,48,63,21,14,12,0.5714285714285714,0.8571428571428571,0.6857142857142857
92,52,70,12,40,58,12,9,5,0.4166666666666667,0.5555555555555556,0.4761904761904762
93,14,36,1,13,35,0,0,0,0,0,0
94,22,57,5,17,52,5,2,2,0.4,1.0,0.5714285714285715
95,31,54,7,24,47,9,2,2,0.2222222222222222,1.0,0.3636363636363636
96,28,51,6,22,45,8,2,1,0.125,0.5,0.2
97,28,61,3,25,58,2,0,0,0.0,0,0
98,49,92,19,30,73,35,17,17,0.4857142857142857,1.0,0.6538461538461539
99,49,67,12,37,55,15,8,6,0.4,0.75,0.5217391304347827
100,64,87,19,45,68,25,15,8,0.32,0.5333333333333333,0.4
101,58,91,13,45,78,13,12,9,0.6923076923076923,0.75,0.7199999999999999
102,115,172,49,66,123,110,55,34,0.3090909090909091,0.6181818181818182,0.4121212121212121
103,129,175,47,82,128,90,35,34,0.37777777777777777,0.9714285714285714,0.5439999999999999
104,104,131,33,71,98,36,23,20,0.5555555555555556,0.8695652173913043,0.6779661016949152
105,113,134,34,79,100,60,38,24,0.4,0.631578947368421,0.4897959183673469
106,163,202,60,103,142,92,70,46,0.5,0.6571428571428571,0.5679012345679013
107,103,141,29,74,112,40,25,22,0.55,0.88,0.676923076923077
108,108,162,31,77,131,51,22,17,0.3333333333333333,0.7727272727272727,0.4657534246575343
109,88,150,14,74,136,18,11,11,0.6111111111111112,1.0,0.7586206896551725
110,77,153,15,62,138,13,7,7,0.5384615384615384,1.0,0.7000000000000001
111,55,81,10,45,71,12,5,5,0.4166666666666667,1.0,0.5882352941176471
112,41,68,9,32,59,8,7,7,0.875,1.0,0.9333333333333333
113,63,92,15,48,77,19,8,8,0.42105263157894735,1.0,0.5925925925925926
114,69,86,13,56,73,18,10,9,0.5,0.9,0.6428571428571429
115,56,79,6,50,73,11,4,4,0.36363636363636365,1.0,0.5333333333333333
116,49,67,10,39,57,10,9,9,0.9,1.0,0.9473684210526316
117,57,79,12,45,67,12,5,5,0.4166666666666667,1.0,0.5882352941176471
118,29,53,5,24,48,7,2,2,0.2857142857142857,1.0,0.4444444444444445
119,36,55,8,28,47,10,6,6,0.6,1.0,0.7499999999999999
120,56,73,8,48,65,13,8,7,0.5384615384615384,0.875,0.6666666666666667
121,53,81,12,41,69,17,8,8,0.47058823529411764,1.0,0.6399999999999999
122,53,88,15,38,73,29,6,6,0.20689655172413793,1.0,0.34285714285714286
123,61,116,14,47,102,23,6,6,0.2608695652173913,1.0,0.41379310344827586
124,46,106,6,40,100,6,5,5,0.8333333333333334,1.0,0.9090909090909091
125,75,140,15,60,125,42,13,12,0.2857142857142857,0.9230769230769231,0.43636363636363634
126,86,155,28,58,127,33,17,16,0.48484848484848486,0.9411764705882353,0.64
127,65,154,18,47,136,20,11,11,0.55,1.0,0.7096774193548387
128,56,103,12,44,91,18,7,7,0.3888888888888889,1.0,0.56
129,85,122,17,68,105,25,16,11,0.44,0.6875,0.5365853658536586
130,70,100,12,58,88,25,6,5,0.2,0.8333333333333334,0.3225806451612903
131,53,90,11,42,79,15,9,8,0.5333333333333333,0.8888888888888888,0.6666666666666667
132,64,130,15,49,115,17,10,9,0.5294117647058824,0.9,0.6666666666666667
133,70,110,24,46,86,25,13,13,0.52,1.0,0.6842105263157895
134,78,112,21,57,91,25,13,12,0.48,0.9230769230769231,0.631578947368421
135,90,129,26,64,103,42,18,18,0.42857142857142855,1.0,0.6
136,51,106,13,38,93,14,10,10,0.7142857142857143,1.0,0.8333333333333333
137,56,90,9,47,81,7,6,5,0.7142857142857143,0.8333333333333334,0.7692307692307692
138,47,84,7,40,77,6,4,4,0.6666666666666666,1.0,0.8
139,49,83,7,42,76,6,4,4,0.6666666666666666,1.0,0.8
140,72,113,20,52,93,29,14,12,0.41379310344827586,0.8571428571428571,0.5581395348837208
141,70,96,23,47,73,28,20,13,0.4642857142857143,0.65,0.5416666666666667
142,64,90,14,50,76,12,8,6,0.5,0.75,0.6
143,86,109,30,56,79,40,27,22,0.55,0.8148148148148148,0.6567164179104479
144,111,128,45,66,83,55,54,38,0.6909090909090909,0.7037037037037037,0.6972477064220184
