Subgraph 1,Subgraph 2,Subgraph 3,Subgraph 4
5959,16972,11428,1292,32,40252,72517,65961,3348,2987,3020,4810,363,1052,279,286,156,110,59,5,10
5775,15522,11076,1424,28,37456,64368,60620,3009,2881,3500,5110,292,828,204,261,117,81,62,68,22
5963,15612,12500,1096,20,38004,66749,68166,2043,2012,2600,3945,256,724,135,155,138,95,37,53,12
5777,15510,12284,1076,24,37904,68708,69068,2244,2142,2584,4005,204,476,192,203,120,83,42,0,15
6035,17085,12748,1384,36,42680,76961,74924,3066,2928,3536,5600,207,528,297,318,195,133,62,5,25
6074,16962,12448,1236,12,42780,74937,72453,2796,2671,3228,5580,185,400,72,168,72,48,40,0,0
6181,17504,13428,1432,20,45476,79682,81007,3345,3105,3500,7180,281,724,159,251,138,92,60,0,5
6767,20898,16540,1516,16,58092,106452,107631,4062,3599,3564,8330,465,1320,132,183,75,50,40,0,5
7871,25553,23980,1584,20,77100,141408,166902,4635,4156,4264,8815,851,2464,234,246,66,56,153,0,10
8632,31585,37104,2172,20,101612,234923,360150,5961,5499,6100,22940,1453,4372,225,370,162,135,228,0,5
9267,35411,42240,2236,12,119052,284730,445718,7539,6675,6596,21700,1925,6040,153,252,66,71,223,0,0
8551,31379,36332,2180,8,103284,240504,352782,7794,6796,6400,19575,1530,4700,42,183,27,33,235,0,0
8781,32616,37156,2436,20,105408,254268,360099,10572,8788,6960,22625,1560,5240,285,415,258,199,373,5,10
9943,42729,48192,5848,232,142160,387761,523915,33129,26371,17140,59230,2063,7152,3894,3391,2574,1740,671,1538,1057
9573,45132,43508,4856,240,155720,414198,509990,26925,21898,15792,47700,2829,9636,3576,2934,2832,1933,675,424,711
9034,41826,36868,4784,224,139980,355695,403007,25881,21218,15856,42240,2406,8124,3297,2873,2496,1706,738,485,595
8692,39723,27696,3900,192,141260,285134,260168,18990,16058,13592,22050,2021,5884,2379,1926,1806,1237,602,436,469
8740,39038,25536,4368,240,140180,252829,216867,21078,17714,14648,22440,2034,5316,2835,2310,2223,1512,670,574,666
9330,43970,27428,4440,228,164356,290359,241307,21411,18487,16852,22010,3379,9856,2787,2408,1950,1405,1160,431,604
9870,47574,29736,5784,328,181312,315611,265117,29352,24907,21356,31305,3050,8160,4287,3773,2877,1951,1097,746,1029
9291,41384,25292,3676,136,152204,249052,208173,15615,13769,13436,18055,2376,6444,1593,1427,999,693,628,174,246
9160,38107,25744,3504,172,129852,227339,203888,14799,12765,11596,17590,1684,4936,2043,1682,1089,741,510,225,275
9330,37039,25688,3260,152,120556,215242,196547,13419,11492,10184,16785,1397,3988,1857,1563,948,638,364,120,195
8696,31932,20304,2176,88,99240,168135,142985,7698,6844,6848,8920,738,2072,873,712,513,342,165,20,95
8200,29471,20164,2196,68,92340,159411,142329,7629,6831,6980,9830,711,1904,591,544,468,312,155,10,55
7899,27048,18292,1588,36,83316,138693,124051,4872,4419,4684,7720,539,1396,339,346,240,160,70,5,10
7028,22677,16336,1564,32,61792,121852,120351,5085,4468,4312,9125,444,1336,300,310,237,158,80,0,15
7716,28714,25044,2156,36,83124,204459,240062,8919,7587,6564,18360,705,2180,369,476,429,289,112,0,20
8640,35616,27628,2812,84,112376,254024,266680,12501,10702,9472,20430,1001,2904,798,802,795,533,182,15,70
8716,34207,25816,3076,76,106408,225157,229225,13440,11309,9396,21050,882,2488,930,940,639,432,174,10,65
9128,34841,26328,3396,88,108116,213847,217796,10953,9813,10044,21160,896,2604,876,999,426,293,171,103,122
9286,35582,25948,3540,76,113976,217124,209294,12318,10837,10500,22305,1145,3720,885,1125,378,279,283,130,130
9406,36812,26516,3636,96,121824,226712,212073,12909,11333,10908,21785,1234,3776,1017,1188,591,421,288,135,150
